Segment_ID,K3_MC0,K3_MC1,K3_MC2
AA_12.0_06-Feb-1994_00:29,0.24562342,0.4954997,0.25887677
AA_12.0_06-Feb-1994_00:48,0.1367658,0.5407418,0.32249245
AA_12.0_06-Feb-1994_01:08,0.6253539,0.1379763,0.23666982
AA_12.0_06-Feb-1994_01:27,0.4915013,0.18731286,0.32118586
AA_12.0_06-Feb-1994_01:47,0.7034156,0.10921761,0.18736684
AA_12.0_06-Feb-1994_02:06,0.62535393,0.13797621,0.23666981
AA_12.0_06-Feb-1994_02:25,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_02:44,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_03:04,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_03:23,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_03:42,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_04:02,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_04:20,0.49150264,0.18731156,0.32118586
AA_12.0_06-Feb-1994_04:39,0.2122215,0.28832948,0.49944904
AA_12.0_06-Feb-1994_04:58,0.62535393,0.13797626,0.23666982
AA_12.0_06-Feb-1994_05:17,0.32315063,0.23081489,0.44603443
AA_12.0_06-Feb-1994_05:36,0.7034157,0.10899468,0.18758957
AA_12.0_06-Feb-1994_05:56,0.6948366,0.07804228,0.2271211
AA_12.0_06-Feb-1994_06:15,0.75455517,0.09038088,0.15506403
AA_12.0_06-Feb-1994_06:34,0.70341563,0.10921753,0.18736684
AA_12.0_06-Feb-1994_06:54,0.8174924,0.06720186,0.115305714
AA_12.0_06-Feb-1994_07:14,0.7577339,0.12678035,0.115485765
AA_12.0_06-Feb-1994_07:33,0.8885161,0.038004197,0.07347974
AA_12.0_06-Feb-1994_07:53,0.94492334,0.019562723,0.035513956
AA_12.0_06-Feb-1994_08:12,0.8020479,0.12141432,0.07653772
AA_12.0_06-Feb-1994_08:31,0.87936056,0.04441929,0.07622017
AA_12.0_06-Feb-1994_08:50,0.9098895,0.031201635,0.058908883
AA_12.0_06-Feb-1994_09:09,0.9152653,0.031198617,0.053536054
