h3_cell,1990-91,1992-93,1993-94,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
82d877fffffffff,0.0,0.0,0.0,0.0,0.0,64.0,2.0,0.0,66.0,40.0,73.0,64.0,33.0,0.0,31.0,73.0,31.0,105.0,0.0,35.0,0.0,35.0,63.0,35.0,0.0,24.0,0.0,28.0,0.0,0.0,0.0
82d887fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d8a7fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,35.0,7.0,5.0,24.0,8.0,19.0,0.0,12.0,0.0,88.0,108.0,101.0,6.0,0.0,0.0,9.0,17.0,12.0,19.0,11.0,0.0,0.0
82d8affffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
82d8b7fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d8e7fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d8effffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d8f7fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d907fffffffff,0.0,0.0,0.0,13.0,0.0,23.0,0.0,36.0,0.0,35.0,0.0,5.0,81.0,34.0,0.0,129.0,0.0,0.0,1.0,12.0,0.0,34.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
82d90ffffffffff,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,0.0,0.0,69.0,0.0,35.0,35.0,4.0,22.0,53.0,0.0,0.0,0.0,0.0,22.0,22.0,23.0,31.0,0.0,0.0,21.0
82d917fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,56.0,0.0,0.0,0.0,36.0,0.0,35.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
82d91ffffffffff,0.0,0.0,0.0,29.0,0.0,26.0,0.0,33.0,40.0,101.0,20.0,18.0,52.0,42.0,28.0,73.0,32.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,69.0,31.0,35.0,15.0,0.0,0.0,0.0
82d927fffffffff,0.0,0.0,0.0,0.0,0.0,33.0,26.0,50.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,63.0,0.0,0.0,25.0,35.0,34.0,39.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
82d92ffffffffff,0.0,0.0,0.0,36.0,0.0,69.0,31.0,31.0,0.0,116.0,35.0,0.0,81.0,34.0,0.0,56.0,0.0,0.0,24.0,34.0,16.0,52.0,0.0,0.0,34.0,0.0,24.0,0.0,0.0,0.0,0.0
82d937fffffffff,0.0,0.0,0.0,0.0,0.0,6.0,30.0,55.0,21.0,58.0,24.0,60.0,56.0,6.0,21.0,21.0,24.0,9.0,39.0,12.0,21.0,31.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
